label,epoch,loss,loss_plus,loss_minus,grad_norm,ck,best_loss_so_far,best_epoch_so_far
NDAR_VQA_step_1,1,-6.42,-6.93,-6.62,11.31959952177342,0.15,-6.42,1
NDAR_VQA_step_1,2,-6.87,-6.89,-6.66,9.007437013064767,0.13985797296552485,-6.87,2
NDAR_VQA_step_1,3,-7.1,-7.16,-6.54,25.2959098316156,0.13424620340351448,-7.1,3
NDAR_VQA_step_1,4,-6.91,-6.32,-6.84,21.841415013719697,0.13040168401350324,-7.1,3
NDAR_VQA_step_1,5,-6.37,-6.74,-6.85,4.725611599813132,0.12749562686859503,-7.1,3
NDAR_VQA_step_1,6,-6.36,-6.46,-7.25,34.56923236972504,0.1251693459088872,-7.1,3
NDAR_VQA_step_1,7,-6.04,-7.16,-6.26,40.00062524487792,0.12323564912720256,-7.1,3
NDAR_VQA_step_1,8,-6.81,-7.53,-6.97,25.22722519372601,0.12158476798279637,-7.1,3
NDAR_VQA_step_1,9,-7.43,-7.15,-7.49,15.499824428321556,0.12014695418838521,-7.43,9
NDAR_VQA_step_1,10,-7.81,-7.17,-7.91,34.09581594923773,0.11887519957207077,-7.81,10
