label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
RANDOM_SEARCH_step_3,0,01101011011001000111,11100010011011010110,-11.0,11.0,0.3142857142857143,11100010011011010110
RANDOM_SEARCH_step_3,1,11111011000011101101,10110111000011011111,-1.0,1.0,0.02857142857142857,10110111000011011111
RANDOM_SEARCH_step_3,2,10100101011010111011,11011101011010100101,-14.0,14.0,0.4,11011101011010100101
RANDOM_SEARCH_step_3,3,11101011010110110101,10101101101011010111,-7.0,7.0,0.2,10101101101011010111
RANDOM_SEARCH_step_3,4,11101011000100001100,00110000100011010111,-23.0,23.0,0.6571428571428571,00110000100011010111
RANDOM_SEARCH_step_3,5,10001011010101001111,11110010101011010001,-11.0,11.0,0.3142857142857143,11110010101011010001
RANDOM_SEARCH_step_3,6,01101011011010111001,10011101011011010110,-6.0,6.0,0.17142857142857143,10011101011011010110
RANDOM_SEARCH_step_3,7,10101011010110101111,11110101101011010101,-3.0,3.0,0.08571428571428572,11110101101011010101
RANDOM_SEARCH_step_3,8,10100101010111101101,10110111101010100101,-12.0,12.0,0.34285714285714286,10110111101010100101
RANDOM_SEARCH_step_3,9,00101011010101010011,11001010101011010100,-14.0,14.0,0.4,11001010101011010100
RANDOM_SEARCH_step_3,10,11101111010101001101,10110010101011110111,-13.0,13.0,0.37142857142857144,10110010101011110111
RANDOM_SEARCH_step_3,11,11101000000011101111,11110111000000010111,-3.0,3.0,0.08571428571428572,11110111000000010111
RANDOM_SEARCH_step_3,12,10000101100010001101,10110001000110100001,-10.0,10.0,0.2857142857142857,10110001000110100001
RANDOM_SEARCH_step_3,13,00001111010100010111,11101000101011110000,-6.0,6.0,0.17142857142857143,11101000101011110000
RANDOM_SEARCH_step_3,14,00001010010100111011,11011100101001010000,-3.0,3.0,0.08571428571428572,11011100101001010000
RANDOM_SEARCH_step_3,15,00001011100111100011,11000111100111010000,-14.0,14.0,0.4,11000111100111010000
RANDOM_SEARCH_step_3,16,10001011000000101110,01110100000011010001,-18.0,18.0,0.5142857142857142,01110100000011010001
RANDOM_SEARCH_step_3,17,01011111010111011111,11111011101011111010,5.0,-5.0,-0.14285714285714285,11111011101011111010
RANDOM_SEARCH_step_3,18,11101011100010001111,11110001000111010111,-8.0,8.0,0.22857142857142856,11110001000111010111
RANDOM_SEARCH_step_3,19,10001000111011100101,10100111011100010001,-8.0,8.0,0.22857142857142856,10100111011100010001
RANDOM_SEARCH_step_3,20,01011000010101110101,10101110101000011010,-18.0,18.0,0.5142857142857142,10101110101000011010
RANDOM_SEARCH_step_3,21,01000101000111101111,11110111100010100010,-7.0,7.0,0.2,11110111100010100010
RANDOM_SEARCH_step_3,22,11100001000010101101,10110101000010000111,-9.0,9.0,0.2571428571428571,10110101000010000111
